Product_ID,Product Name,Category_ID
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",C011
OFF-BI-10001460,Plastic Binding Combs,C009
OFF-AR-10001868,Prang Dustless Chalk Sticks,C007
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",C012
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",C009
OFF-PA-10003892,Xerox 1943,C011
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,C006
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",C002
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",C007
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,C008
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",C011
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,C009
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",C011
FUR-CH-10000513,High-Back Leather Manager's Chair,C002
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",C006
OFF-ST-10004123,Safco Industrial Wire Shelving System,C005
OFF-BI-10004182,Economy Binders,C009
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",C006
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",C005
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",C006
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",C010
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,C009
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",C007
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",C005
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,C013
OFF-ST-10003656,Safco Industrial Wire Shelving,C005
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,C002
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,C012
OFF-LA-10000134,Avery 511,C003
OFF-ST-10003442,Eldon Portable Mobile Manager,C005
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,C007
OFF-PA-10000304,Xerox 1995,C011
OFF-PA-10003177,Xerox 1999,C011
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",C006
OFF-BI-10002852,Ibico Standard Transparent Covers,C009
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,C009
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,C006
OFF-BI-10001721,Trimflex Flexible Post Binders,C009
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,C010
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,C011
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,C012
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,C009
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),C011
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,C012
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",C006
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",C009
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,C012
TEC-PH-10002844,Speck Products Candyshell Flip Case,C008
OFF-AR-10000390,Newell Chalk Holder,C007
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,C012
FUR-FU-10001934,Magnifier Swing Arm Lamp,C006
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",C007
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",C009
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",C014
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",C013
OFF-PA-10004965,Xerox 1921,C011
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",C013
FUR-TA-10001768,Hon Racetrack Conference Tables,C004
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,C009
FUR-FU-10002157,Artistic Insta-Plaque,C006
OFF-ST-10000777,"Companion Letter/Legal File, Black",C005
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,C013
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,C008
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,C002
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,C004
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",C009
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",C005
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,C006
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,C008
OFF-PA-10002377,Xerox 1916,C011
OFF-FA-10002780,Staples,C014
OFF-PA-10001804,Xerox 195,C011
OFF-PA-10001736,Xerox 1880,C011
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",C007
OFF-FA-10002988,Ideal Clamps,C014
OFF-BI-10004781,GBC Wire Binding Strips,C009
OFF-SU-10001218,Fiskars Softgrip Scissors,C015
OFF-AR-10000940,Newell 343,C007
OFF-EN-10004030,Convenience Packs of Business Envelopes,C013
OFF-PA-10004327,Xerox 1911,C011
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,C010
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",C006
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,C008
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,C008
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,C009
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,C010
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,C008
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,C011
OFF-PA-10002254,Xerox 1883,C011
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",C005
OFF-AR-10001547,Newell 311,C007
OFF-LA-10002475,Avery 519,C003
TEC-PH-10004536,Avaya 5420 Digital phone,C008
OFF-PA-10002751,Xerox 1920,C011
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,C012
OFF-EN-10001990,Staple envelope,C013
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,C009
OFF-AR-10004441,BIC Brite Liner Highlighters,C007
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,C016
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,C005
FUR-CH-10004287,SAFCO Arco Folding Chair,C002
OFF-AR-10002656,Sanford Liquid Accent Highlighters,C007
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,C010
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,C008
OFF-PA-10000659,QWRhbXMgUGhvbmUgTWVzc2FnZSBCb29rLCBQcm9mZXNzaW9uYWwsIDQwMCBNZXNzYWdlIENhcGFjaXR5LCA1IDMvNsKUIHggMTHClA==,C011
OFF-PA-10001144,Xerox 1913,C011
FUR-CH-10003817,"Global Value Steno Chair, Gray",C002
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,C010
OFF-LA-10003148,Avery 51,C003
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",C010
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",C002
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,C015
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",C007
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",C005
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,C012
TEC-PH-10003273,AT&T TR1909W,C008
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),C008
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,C012
OFF-BI-10001890,Avery Poly Binder Pockets,C009
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,C012
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",C005
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",C001
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,C008
OFF-PA-10000061,Xerox 205,C011
OFF-AR-10003514,4009 Highlighters by Sanford,C007
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",C007
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",C007
OFF-ST-10001414,Decoflex Hanging Personal Folder File,C005
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",C009
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",C011
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,C011
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,C004
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",C010
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,C010
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",C006
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,C008
OFF-ST-10000642,"Tennsco Lockers, Gray",C005
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,C008
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",C014
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",C005
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,C012
OFF-LA-10004544,Avery 505,C003
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,C001
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,C016
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,C012
TEC-PH-10002563,Adtran 1202752G1,C008
OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,C014
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",C011
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",C006
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,C016
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,C007
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",C007
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,C004
OFF-ST-10002485,Rogers Deluxe File Chest,C005
FUR-CH-10004860,Global Low Back Tilter Chair,C002
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",C002
OFF-BI-10001679,GBC Instant Index System for Binding Systems,C009
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,C004
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,C004
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",C006
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,C012
OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),C011
OFF-PA-10003349,Xerox 1957,C011
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,C006
FUR-FU-10004351,Staple-based wall hangings,C006
TEC-PH-10000011,PureGear Roll-On Screen Protector,C008
FUR-TA-10002607,KI Conference Tables,C004
FUR-FU-10002505,Eldon 100 Class Desk Accessories,C006
OFF-ST-10002276,Safco Steel Mobile File Cart,C005
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",C011
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,C010
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",C002
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",C011
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",C005
OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,C013
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",C005
TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,C008
TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,C012
OFF-ST-10002790,Safco Industrial Shelving,C005
OFF-BI-10003460,Acco 3-Hole Punch,C009
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,C010
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,C016
TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,C008
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,C012
OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",C007
OFF-FA-10003472,Bagged Rubber Bands,C014
OFF-ST-10004180,Safco Commercial Shelving,C005
OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",C013
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,C005
TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,C012
FUR-FU-10003274,Regeneration Desk Collection,C006
OFF-BI-10002557,Presstex Flexible Ring Binders,C009
OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",C011
OFF-AR-10001427,Newell 330,C007
OFF-PA-10000673,UG9zdC1pdCDCk0ltcG9ydGFudCBNZXNzYWdlwpQgTm90ZSBQYWQsIE5lb24gQ29sb3JzLCA1MCBTaGVldHMvUGFk,C011
OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",C011
OFF-ST-10000876,Eldon Simplefile Box Office,C005
OFF-LA-10002043,Avery 489,C003
OFF-BI-10004967,Round Ring Binders,C009
TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,C008
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",C004
OFF-PA-10000474,Easy-staple paper,C011
TEC-AC-10001956,Microsoft Arc Touch Mouse,C012
OFF-PA-10004100,Xerox 216,C011
OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,C009
OFF-SU-10000646,Premier Automatic Letter Opener,C015
OFF-FA-10002983,Advantus SlideClip Paper Clips,C014
OFF-LA-10004689,Avery 512,C003
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,C012
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",C001
FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",C006
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,C002
FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,C006
OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,C009
OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",C014
OFF-PA-10002105,Xerox 223,C011
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",C005
OFF-PA-10004243,Xerox 1939,C011
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",C006
OFF-BI-10002706,Avery Premier Heavy-Duty Binder with Round Locking Rings,C009
FUR-TA-10002533,BPI Conference Tables,C004
FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,C006
OFF-AR-10003651,Newell 350,C007
OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",C009
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,C007
OFF-AR-10002804,Faber Castell Col-Erase Pencils,C007
FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,C006
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,C002
FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",C006
OFF-LA-10000634,Avery 509,C003
FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",C006
TEC-PH-10002398,AT&T 1070 Corded Phone,C008
OFF-PA-10001937,Xerox 21,C011
OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",C007
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,C002
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,C016
TEC-AC-10000892,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,C012
OFF-FA-10000624,OIC Binder Clips,C014
TEC-AC-10001908,Logitech Wireless Headset h800,C012
FUR-FU-10001967,Telescoping Adjustable Floor Lamp,C006
TEC-PH-10003645,Aastra 57i VoIP phone,C008
OFF-ST-10000675,"File Shuttle II and Handi-File, Black",C005
FUR-CH-10003312,SG9uIDIwOTAgwpNQaWxsb3cgU29mdMKUIFNlcmllcyBNaWQgQmFjayBTd2l2ZWwvVGlsdCBDaGFpcnM=,C002
OFF-LA-10001074,Round Specialty Laser Printer Labels,C003
OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,C009
TEC-PH-10004614,AT&T 841000 Phone,C008
OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,C009
OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,C009
OFF-BI-10001922,Storex Dura Pro Binders,C009
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,C017
OFF-BI-10004140,Avery Non-Stick Binders,C009
OFF-BI-10003314,Tuff Stuff Recycled Round Ring Binders,C009
FUR-TA-10004575,Hon 5100 Series Wood Tables,C004
OFF-FA-10000490,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",C014
OFF-AR-10000122,Newell 314,C007
TEC-PH-10000702,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",C008
OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",C007
OFF-PA-10001970,Xerox 1881,C011
OFF-BI-10002160,Acco Hanging Data Binders,C009
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,C009
FUR-BO-10002268,Sauder Barrister Bookcases,C001
OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",C013
OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",C007
OFF-PA-10002713,QWRhbXMgUGhvbmUgTWVzc2FnZSBCb29rLCAyMDAgTWVzc2FnZSBDYXBhY2l0eSwgOCAxLzE2wpQgeCAxMcKU,C011
OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,C010
OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",C003
FUR-CH-10000785,Global Ergonomic Managers Chair,C002
OFF-AR-10003732,Newell 333,C007
FUR-FU-10000023,Eldon Wave Desk Accessories,C006
OFF-BI-10002412,V2lsc29uIEpvbmVzIMKTU25hcMKUIFNjcmF0Y2ggUGFkIEJpbmRlciBUb29sIGZvciBSaW5nIEJpbmRlcnM=,C009
OFF-SU-10001225,Staple remover,C015
OFF-ST-10002406,Pizazz Global Quick File,C005
OFF-PA-10002036,Xerox 1930,C011
OFF-ST-10002205,File Shuttle I and Handi-File,C005
TEC-AC-10003911,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,C012
OFF-AR-10000658,Newell 324,C007
TEC-AC-10002076,Microsoft Natural Keyboard Elite,C012
OFF-PA-10003039,Xerox 1960,C011
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",C004
OFF-AP-10000696,Holmes Odor Grabber,C010
OFF-ST-10003327,Akro-Mils 12-Gallon Tote,C005
OFF-BI-10000309,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",C009
OFF-PA-10004734,Southworth Structures Collection,C011
OFF-BI-10002225,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",C009
TEC-AC-10004708,Sony 32GB Class 10 Micro SDHC R40 Memory Card,C012
FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",C004
TEC-AC-10002335,Logitech Media Keyboard K200,C012
TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,C016
FUR-FU-10001935,3M Hangers With Command Adhesive,C006
OFF-AR-10004757,Crayola Colored Pencils,C007
OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",C009
TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,C008
TEC-CO-10002313,Canon PC1080F Personal Copier,C017
OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,C009
OFF-BI-10004492,Tuf-Vin Binders,C009
OFF-ST-10000798,2300 Heavy-Duty Transfer File Systems by Perma,C005
OFF-PA-10002552,Xerox 1958,C011
OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",C015
OFF-ST-10001580,Super Decoflex Portable Personal File,C005
OFF-ST-10000934,"Contico 72""H Heavy-Duty Storage System",C005
TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,C012
OFF-PA-10001947,Xerox 1974,C011
OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",C007
OFF-AP-10004249,Staple holder,C010
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,C017
OFF-PA-10003724,"Wirebound Message Book, 4 per Page",C011
FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",C004
OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",C011
OFF-LA-10003766,Self-Adhesive Removable Labels,C003
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,C001
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,C002
OFF-PA-10000157,Xerox 191,C011
OFF-AR-10004344,Bulldog Vacuum Base Pencil Sharpener,C007
FUR-CH-10004886,Bevis Steel Folding Chairs,C002
OFF-PA-10003845,Xerox 1987,C011
OFF-AR-10001573,American Pencil,C007
OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",C013
TEC-AC-10004114,KeyTronic 6101 Series - Keyboard - Black,C012
FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",C006
OFF-ST-10000918,Crate-A-Files,C005
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,C002
FUR-FU-10003347,Coloredge Poster Frame,C006
OFF-BI-10001543,GBC VeloBinder Manual Binding System,C009
TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",C016
OFF-AR-10000369,Design Ebony Sketching Pencil,C007
OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,C009
